category,atom,statistic,value
sources,Regular Customers,created,119491
sources,Urgent Customers,created,29888
sources,VIP Customers,created,30006
queues,Priority Queue,average_length,37.74926426746569
queues,Priority Queue,maximum_length,194
queues,Priority Queue,average_waiting_time,2.1045078614590444
queues,FIFO Queue,average_length,34689.96993322247
queues,FIFO Queue,maximum_length,69581
queues,FIFO Queue,average_waiting_time,3020.1390470318274
queues,LIFO Queue,average_length,14314.167743754684
queues,LIFO Queue,maximum_length,28820
queues,LIFO Queue,average_waiting_time,0.11127943953372428
queues,Shortest Processing Time Queue,average_length,13637.77744127146
queues,Shortest Processing Time Queue,maximum_length,27685
queues,Shortest Processing Time Queue,average_waiting_time,2261.8157621370833
servers,Fast Server,processed,79997
servers,Fast Server,utilization,0.9999991557053655
servers,Fast Server,average_service_time,0.12500338366204727
servers,Slow Server,processed,42748
servers,Slow Server,utilization,0.9964681936055807
servers,Slow Server,average_service_time,0.23309801860275137
servers,Fixed Service,processed,59999
servers,Fixed Service,utilization,0.9999944745221608
servers,Fixed Service,average_service_time,0.16666666666665636
servers,Machine Server,processed,49912
servers,Machine Server,utilization,0.9999914994976059
servers,Machine Server,average_service_time,0.20034943565167865
sinks,Completed,completed,182744
sinks,Completed,throughput,18.2744
sinks,Secondary Exit,completed,49912
sinks,Secondary Exit,throughput,4.9912
sinks,LIFO Exit,completed,59999
sinks,LIFO Exit,throughput,5.9999
